course,lecturer,group,classroom
Ekonomia pracy,Mgr. Tomasz Nowakiewicz,JQM.JQ3.SLG.1668.ZTT,D333
Zarządzanie zmianą,Inż. Piotr Szymański,UDT.FC6.DKR.6724.SZY,A335
Zarządzanie markami luksusowymi,Mgr. Piotr Kamiński,GSG.YE2.ZAC.2685.EQS,A180
Zarządzanie wydarzeniami,Mgr. Piotr Kamiński,LMG.DA0.DJG.7897.GPB,A180
Przedsiębiorczość,Inż. Katarzyna Zielińska,YRI.BF4.UAT.9531.JAD,B193
Negocjacje międzynarodowe,Prof. Marek Lewandowski,WSX.ZB2.IDE.4895.TVM,E325
Systemy zarządzania bazami danych,Inż. Zofia Wójcik,IPF.ES4.EHB.4201.SBL,F229
Zarządzanie projektami,Prof. Katarzyna Zielińska,NMO.SN9.DPB.1224.YMA,H134
Modelowanie predykcyjne,Mgr. Piotr Wójcik,OIA.PL3.WUJ.5193.MRZ,D265
Raportowanie zrównoważonego rozwoju,Dr hab. Katarzyna Kamiński,SUB.TT7.GRJ.1897.VEF,F345
Prognozowanie sprzedaży,Inż. Maria Wiśniewska,TPC.EZ6.MLQ.1489.NSW,B193
Prognozowanie i planowanie zapasów,Dr. Piotr Dąbrowski,IJW.BB3.HET.3202.BQI,F208
Etyka w biznesie międzynarodowym,Dr. Katarzyna Szyszka,IUX.GM7.ALK.4346.VED,G155
Ekonomia polityczna,Inż. Piotr Szymański,LDI.OF2.CEP.1023.VYW,C320
Zaawansowane praktyki HR,Inż. Jan Nowak,QKN.FU1.NVZ.7963.LGU,B300
Planowanie strategiczne marketingu,Dr. Anna Zielińska,RYC.KE6.EHH.8944.IOK,A188
Socjologia organizacji,Prof. Zofia Kowalska,OOG.CU9.LTX.5149.CYJ,F142
Technologia łańcucha dostaw,Prof. Maria Szymańska,HKX.SN9.IAC.7326.USM,G389
Regulacje importowe i eksportowe,Dr hab. Zofia Szymanowska,YQY.LN5.OLS.9958.FXB,H236
Zastosowania uczenia maszynowego,Mgr. Maria Dąbrowska,LLO.ZY4.WVH.2797.XDC,E165
Wprowadzenie do makroekonomii,Dr. Anna Dąbrowska,HVB.OJ6.GZB.7025.KSG,A335
Zarządzanie zmianą,Dr hab. Zofia Szymanowska,OIA.PL3.WUJ.5193.MRZ,B243
Zrozumienie konsumentów,Inż. Maria Dąbrowski,TQM.HD9.EEI.3934.STN,B243
Badania rynku,Mgr. Marek Zieliński,CXC.RY5.YNN.8006.FCS,F370
Globalne strategie HR,Mgr. Maria Dąbrowska,RSQ.YZ3.EGU.5784.EXO,D205
Ład korporacyjny,Mgr. Zofia Kowalska,BFN.OF8.PWR.0279.RWQ,E211
Zarządzanie sprzedażą,Prof. Zofia Wójcik,LDI.OF2.CEP.1023.VYW,G210
Różnorodność w miejscu pracy,Mgr. Maria Lewandowska,FCK.AU2.WAZ.6050.BTI,D255
Kapitał podwyższonego ryzyka,Dr hab. Andrzej Wójcik,ZUQ.GU2.CGD.1182.WMT,F142
Zaawansowane zaangażowanie pracowników,Inż. Zofia Dąbrowska,FZM.DZ8.UXQ.8836.LIA,D280
Relacje przemysłowe,Inż. Piotr Szymański,DKO.TD1.EWS.3152.AOQ,F142
Finanse łańcucha dostaw,Dr. Maria Dąbrowska,MIR.SW8.VIF.7653.UAG,E381
Zarządzanie sprzedażą,Dr. Marek Woźniak,YQY.LN5.OLS.9958.FXB,C105
Zaawansowana wizualizacja danych,Dr. Piotr Dąbrowski,TML.NS4.BCX.5709.BLF,D280
Zarządzanie start-upami,Prof. Zofia Zielińska,UZL.LB0.AQE.7323.UPI,E211
Zaawansowana wizualizacja danych,Mgr. Anna Zielińska,JEA.JB5.MHM.9323.KHY,F205
Teoria makroekonomiczna,Prof. Katarzyna Wójcik,SBW.SS1.DHE.0691.GYW,A326
Rozwój produktu,Inż. Marek Szymański,FZG.ZU8.QCV.7696.WAK,A326
Bankowość i usługi finansowe,Dr hab. Andrzej Lewandowski,UKX.FS1.GKW.1833.PNM,B394
Zarządzanie zasobami ludzkimi,Mgr. Zofia Kowalska,YDE.JT5.QJX.5219.EDV,G240
Ekonomia transportu,Dr. Maria Zieliński,DTX.YL0.PXJ.2128.IQD,H327
Tworzenie treści cyfrowych,Dr hab. Marek Dąbrowski,TXE.TR0.JGS.5994.WSD,H264
Zarządzanie logistyką,Inż. Marek Szymański,GDX.IX2.BAD.6731.ASO,C105
Zarządzanie zmianą,Dr. Marek Woźniak,VQP.LJ5.WEO.1716.XWJ,F345
Analiza decyzyjna,Dr hab. Maria Wójcik,VWM.OY2.PWX.4783.SBT,G311
Zrównoważony rozwój,Dr. Zofia Woźniakowska,BKM.SW8.AXI.5980.EIA,E165
Etyczne hackowanie dla biznesu,Mgr. Maria Kamińska,IYN.XL7.DFR.6478.FRH,F229
Strategie cenowe,Dr hab. Ewa Zielińska,RYX.BE0.FMU.1872.NND,H365
Negocjacje międzynarodowe,Prof. Maria Woźniak,FGJ.AP7.YSO.3133.DTF,E381
Ekonometria,Dr hab. Piotr Nowakowski,AXZ.MB6.PWL.5112.TTC,A135
Techniki negocjacyjne,Dr hab. Maria Lewandowska,EDK.VE5.MBM.5514.LJK,G104
Globalizacja i biznes,Prof. Zofia Wójcik,ONB.OI9.BTJ.4024.QSE,E165
Zarządzanie projektami,Inż. Zofia Wójcik,PIY.GW7.POE.7887.AIN,E286
Zamówienia publiczne,Prof. Marek Lewandowski,XXS.EZ2.OIQ.3916.YLB,G240
Bankowość i usługi finansowe,Mgr. Marek Zieliński,KOR.XX2.LTF.8475.WBU,H101
Globalizacja i biznes,Dr. Maria Lewandowska,OOG.CU9.LTX.5149.CYJ,A135
Ubezpieczenia,Dr hab. Marek Dąbrowski,PMX.UE0.TNS.7951.MCF,F142
Tworzenie treści cyfrowych,Dr. Zofia Woźniakowska,VWM.OY2.PWX.4783.SBT,B394
Zarządzanie logistyką,Dr hab. Tomasz Woźniak,UZL.LB0.AQE.7323.UPI,A135
Copywriting i kreatywne pisanie,Inż. Katarzyna Zielińska,ZCT.XU8.BJX.7206.HOP,B243
Zarządzanie logistyką,Inż. Katarzyna Dąbrowska,QKX.MM9.YVF.9122.IPU,C143
Ekonometria,Dr. Maria Lewandowska,AKA.FV1.DKI.8876.KZC,D191
Środowisko prawne biznesu,Inż. Katarzyna Dąbrowska,OUP.UT9.PJN.3348.FCR,A135
Ekonomia transportu,Dr hab. Ewa Zielińska,TXE.TR0.JGS.5994.WSD,F229
Tworzenie stron internetowych,Mgr. Jan Lewandowski,UWR.OR4.NYJ.8726.KYV,D352
Zarządzanie projektami,Mgr. Piotr Szymański,QSE.BX6.RDZ.3792.YNU,B135
Ekonomia monetarna,Inż. Jan Szymański,VQX.QB4.YFR.4773.SJP,B120
Etyka biznesu,Prof. Katarzyna Zielińska,OBB.VH5.LUN.0250.ZGC,D385
Zarządzanie międzykulturowe,Inż. Jan Szymański,VYS.XC2.XEW.5584.LDS,C332
Zintegrowana komunikacja marketingowa,Inż. Piotr Lewandowski,NDM.YL9.LYB.3733.YGC,B243
Analiza ryzyka finansowego,Mgr. Piotr Wójcik,YMH.LK9.BNM.4167.MHF,H203
Negocjacje międzynarodowe,Prof. Katarzyna Zielińska,UIE.CB5.ULG.4962.LZU,C242
Zarządzanie cyklem życia produktu,Dr. Piotr Wiśniewski,LLO.ZY4.WVH.2797.XDC,B226
Podstawy marketingu,Prof. Maria Wójcik,PLH.LQ3.MTC.3521.PGO,G252
Odpowiedzialność społeczna przedsiębiorstw,Dr. Maria Dąbrowska,FCK.AU2.WAZ.6050.BTI,H112
Rachunek kosztów,Inż. Andrzej Nowak,ZCT.XU8.BJX.7206.HOP,D280
Zarządzanie bezpieczeństwem IT,Prof. Marek Lewandowski,XYT.KV1.MLL.5989.YUU,B209
Systemy informacyjne zarządzania,Prof. Katarzyna Zielińska,QEK.CB5.XJY.6186.CBI,F244
Transformacja cyfrowa,Inż. Katarzyna Wiśniewska,DRX.IW7.NVT.3996.XWM,B379
Transformacja cyfrowa,Dr. Jan Zieliński,NIZ.VN8.UQC.0168.FMS,F328
Zarządzanie kryzysowe,Dr hab. Tomasz Woźniak,MSD.KD5.SIQ.3688.DTR,E173
Prognozowanie i planowanie zapasów,Mgr. Piotr Dąbrowski,CFZ.ID0.BEZ.3781.RGX,H369
Zarządzanie projektami,Mgr. Tomasz Szymański,YDE.JT5.QJX.5219.EDV,D333
Zarządzanie strategiczne,Dr. Maria Lewandowska,UKX.FS1.GKW.1833.PNM,H365
Zasady audytu,Dr. Katarzyna Szymańska,WPF.BA4.HUF.2508.ZCE,H327
Etyczne hackowanie dla biznesu,Prof. Tomasz Dąbrowski,WZU.CW1.XTG.3642.WUL,F124
Marketing cyfrowy,Inż. Zofia Dąbrowska,TML.NS4.BCX.5709.BLF,H236
Prawo gospodarcze,Inż. Zofia Wójcik,MVS.HR6.FRH.7803.YTL,B340
Analiza danych,Prof. Anna Nowak,WCZ.ZI6.EIL.6927.ANQ,H365
Logistyka portowa i morska,Dr. Jan Zieliński,AXZ.MB6.PWL.5112.TTC,H134
Ekonomia środowiskowa,Mgr. Piotr Kamień,XLS.QK5.QSN.6714.RMY,D280
Etyka w biznesie międzynarodowym,Inż. Jan Szymański,YDD.CP0.OJM.7964.RBU,B190
Ekonomia behawioralna,Dr. Marek Woźniak,JQG.HO1.SYW.0202.VDD,A180
Analiza marketingowa,Mgr. Maria Dąbrowska,JQG.HO1.SYW.0202.VDD,C143
Zarządzanie projektami,Dr hab. Piotr Nowakowski,BFN.OF8.PWR.0279.RWQ,H101
Fuzje i przejęcia,Inż. Jan Nowak,JVV.AT7.RTF.2808.JXU,H211
Cyberbezpieczeństwo w biznesie,Prof. Zofia Zielińska,QKX.MM9.YVF.9122.IPU,A358
Analiza HR,Prof. Katarzyna Zielińska,SQP.TV7.URO.4305.QVL,G389
Przetwarzanie w chmurze,Mgr. Marek Wójcik,QZK.BN3.APL.2257.JOO,D333
Public Relations,Inż. Zofia Wójcik,FGJ.AP7.YSO.3133.DTF,G155
Doskonałość w obsłudze klienta,Inż. Katarzyna Zielińska,APJ.FY5.UFT.6300.ONQ,H264
Analiza marketingowa,Mgr. Piotr Wójcik,IJW.BB3.HET.3202.BQI,C242
Tworzenie stron internetowych,Prof. Andrzej Szymański,OIA.PL3.WUJ.5193.MRZ,H203
Copywriting i kreatywne pisanie,Dr. Andrzej Wiśniewski,PXN.NF6.JCD.2409.YTY,B209
Marketing usług,Dr. Maria Lewandowska,PMP.CC8.WON.1917.TGB,G277
Inteligentna logistyka,Mgr. Piotr Szymański,REY.EF1.LDG.3382.AKB,E286
Historia gospodarcza,Mgr. Katarzyna Szymańska,VWM.OY2.PWX.4783.SBT,D265
Innowacja w modelach biznesowych,Prof. Piotr Kowalski,YBO.AF8.JWH.1455.XJM,E183
Metody ilościowe w biznesie,Prof. Marek Wójcik,UXG.UH4.KAL.6970.LCC,D160
Regulacje dotyczące prywatności danych,Mgr. Anna Zielińska,TBY.BS8.FEW.2939.JYI,A208
Transformacja cyfrowa,Mgr. Marek Zieliński,DET.MD5.VNX.2185.ECF,B396
Visual Basic dla aplikacji,Dr hab. Piotr Szymański,PMX.UE0.TNS.7951.MCF,B394
Zastosowania uczenia maszynowego,Dr. Zofia Woźniakowska,JSI.BX2.UAJ.4340.SGP,B209
Relacje przemysłowe,Prof. Ewa Lewandowska,GQA.DX2.YJU.0455.RKZ,H235
Wprowadzenie do nauki o danych,Dr. Maria Dąbrowska,PTH.NO0.IXY.3726.FAA,A136
Teoria makroekonomiczna,Prof. Zofia Miodowska,SWG.KD4.MEK.9582.KWP,D333
Zarządzanie kryzysowe,Dr. Ewa Zielińska,OFE.KR6.JQI.4517.RMA,D280
Strategie w mediach społecznościowych,Prof. Marek Lewandowski,UAI.ZW4.SWQ.5904.BWV,H327
Prezentacje i wystąpienia publiczne,Dr. Marek Zieliński,DEN.CL3.POI.0792.DSS,H235
Rachunek kosztów,Mgr. Maria Lewandowska,IPF.ES4.EHB.4201.SBL,G252
Regulacje dotyczące prywatności danych,Prof. Katarzyna Zielińska,FGJ.AP7.YSO.3133.DTF,E211
Zarządzanie strategiczne,Mgr. Tomasz Dąbkowski,ZBD.VA1.MYH.5403.BLV,F389
Teoria mikroekonomiczna,Dr. Piotr Wiśniewski,BLB.OL6.FEJ.3647.EAL,C105
Relacje przemysłowe,Inż. Maria Wiśniewska,CPU.AW1.GOQ.7175.XAG,E385
Raportowanie zrównoważonego rozwoju,Dr. Marek Zieliński,TPC.EZ6.MLQ.1489.NSW,E286
Odpowiedzialność społeczna przedsiębiorstw,Dr. Katarzyna Szyszka,JQM.JQ3.SLG.1668.ZTT,H203
Zielony łańcuch dostaw,Dr. Maria Zieliński,TXE.TR0.JGS.5994.WSD,D333
Statystyka II,Dr. Marek Woźniak,EGA.TU9.VRT.2826.QYN,A135
Zarządzanie marką,Dr. Anna Lewandowska,DHN.YK3.TPY.3244.MKR,B384
Analiza danych,Dr. Marek Dąbrowski,EDB.RH5.MAR.3310.IIM,E183
Analiza inwestycji,Mgr. Piotr Wójcik,APJ.FY5.UFT.6300.ONQ,D106
Zarządzanie wydajnością,Dr hab. Piotr Nowakowski,JEA.JB5.MHM.9323.KHY,C328
Zarządzanie start-upami,Mgr. Tomasz Dąbkowski,IYN.XL7.DFR.6478.FRH,A261
Inteligentna logistyka miejska,Dr. Anna Dąbrowska,NTV.KM5.ZHF.9246.EXE,D385
Zamówienia publiczne,Prof. Jan Szymański,HKZ.GL3.BJB.4801.KBY,F142
Przedsiębiorczość,Mgr. Piotr Dąbrowski,HVB.OJ6.GZB.7025.KSG,B209
Rachunkowość zarządcza,Dr hab. Andrzej Wójcik,IHD.KT1.POS.9964.MVT,C320
Podstawy zarządzania,Prof. Marek Wójcik,JKN.PY2.ZVG.0111.BAP,F106
Prawo gospodarcze,Prof. Zofia Kowalska,QTU.RA1.WZV.5188.VSG,D255
Zastosowania uczenia maszynowego,Prof. Andrzej Szymański,PLH.LQ3.MTC.3521.PGO,B379
Prognozowanie i planowanie zapasów,Prof. Katarzyna Zielińska,WXD.JE6.FNR.6501.HUF,C320
Zarządzanie zaopatrzeniem,Dr. Anna Dąbrowska,NIZ.VN8.UQC.0168.FMS,F139
Ekonomia nieruchomości,Dr. Zofia Lewandowska,HKX.SN9.IAC.7326.USM,E354
Kapitał podwyższonego ryzyka,Dr hab. Maria Wójcik,XLS.QK5.QSN.6714.RMY,F205
Finanse behawioralne,Mgr. Jan Lewandowski,PBQ.CO9.RRX.4565.HAO,B243
Strategie w mediach społecznościowych,Dr hab. Piotr Nowak,UKX.FS1.GKW.1833.PNM,B379
Społeczna odpowiedzialność biznesu,Inż. Katarzyna Wiśniewska,UZE.LD2.TEV.5749.FHG,F142
Polityka ekonomiczna,Dr. Marek Kamiński,NDM.YL9.LYB.3733.YGC,E325
Finanse behawioralne,Prof. Piotr Kowalski,KPV.VI2.CKL.1138.HHL,H134
Analiza biznesowa,Mgr. Piotr Dąbrowski,DHN.YK3.TPY.3244.MKR,B396
Zarządzanie transportem kolejowym,Prof. Ewa Lewandowska,ZFT.RD7.FTV.1813.RKV,D255
Środowisko prawne biznesu,Mgr. Tomasz Kamiński,OOG.CU9.LTX.5149.CYJ,F139
Marketing usług,Prof. Marek Wójcik,CPU.AW1.GOQ.7175.XAG,A358
Socjologia organizacji,Mgr. Marek Zieliński,RHU.GJ7.UZX.9301.XAD,H203
Ekonometria,Dr. Maria Lewandowska,BIH.UW2.GQO.7951.ULE,G364
Przetwarzanie w chmurze,Dr. Ewa Zielińska,KKP.JU7.EYR.2227.KQM,G389
Sztuczna inteligencja w biznesie,Dr hab. Andrzej Lewandowski,REY.EF1.LDG.3382.AKB,B190
Inteligentna logistyka,Mgr. Tomasz Dąbkowski,DKO.TD1.EWS.3152.AOQ,B193
Ekonomia polityczna,Dr hab. Andrzej Wójcik,LDI.OF2.CEP.1023.VYW,H186
Zarządzanie cyklem życia produktu,Inż. Katarzyna Zielińska,BLB.OL6.FEJ.3647.EAL,F149
Planowanie zasobów przedsiębiorstwa,Dr. Piotr Dąbrowski,DET.MD5.VNX.2185.ECF,A358
Bankowość i usługi finansowe,Dr. Piotr Dąbrowski,IJW.BB3.HET.3202.BQI,C332
Statystyka II,Inż. Katarzyna Dąbrowska,SEA.EL4.UCP.5738.FCI,F142
Raportowanie zrównoważonego rozwoju,Mgr. Piotr Dąbrowski,EJP.UH3.LEV.8022.YDH,B120
Badania rynku,Prof. Anna Nowak,WYI.TL2.TFF.6186.JHL,C332
Regulacje dotyczące prywatności danych,Dr. Anna Zielińska,SUL.IP4.RGW.7174.FMM,F149
Teoria makroekonomiczna,Dr hab. Ewa Zielińska,ZFT.RD7.FTV.1813.RKV,G252
Zachowania konsumentów,Mgr. Piotr Kamień,FZG.ZU8.QCV.7696.WAK,A261
Metody ilościowe w biznesie,Dr. Maria Zieliński,WAV.TE4.TDJ.2806.RFL,A135
Tworzenie treści cyfrowych,Dr. Piotr Woźniak,RSQ.YZ3.EGU.5784.EXO,B190
Innowacja w modelach biznesowych,Prof. Ewa Lewandowska,HKX.SN9.IAC.7326.USM,D352
Zarządzanie ryzykiem,Prof. Maria Wójcik,HKZ.GL3.BJB.4801.KBY,A180
